word,won,wrong_guesses,repeated_guesses,total_guesses,guesses
crackable,False,6,0,12,"['e', 't', 'a', 'r', 'n', 'l', 'i', 'c', 'o', 'h', 'b', 'm']"
unbuoyed,False,6,0,9,"['e', 'r', 'a', 'i', 'n', 'l', 'c', 'o', 't']"
adinole,False,6,0,12,"['e', 'a', 't', 'n', 'i', 'l', 'r', 'o', 's', 'c', 'p', 'm']"
glossopalatinus,True,5,0,15,"['e', 'a', 'i', 't', 'n', 'r', 'l', 'o', 's', 'u', 'p', 'b', 'c', 'd', 'g']"
palaeosophy,False,6,0,11,"['e', 'o', 'n', 'r', 't', 'l', 'i', 'a', 'c', 's', 'm']"
afterglow,False,6,0,12,"['e', 'a', 'r', 'i', 't', 'n', 's', 'o', 'l', 'c', 'u', 'm']"
apoplastogamous,True,5,0,14,"['e', 'a', 't', 'i', 'n', 'r', 'l', 's', 'o', 'c', 'u', 'm', 'p', 'g']"
guaiol,False,6,0,11,"['e', 'a', 'r', 'n', 't', 'l', 'i', 'c', 'o', 'g', 'h']"
utriculoplastic,True,2,0,12,"['e', 'a', 'i', 't', 'n', 's', 'r', 'c', 'o', 'l', 'u', 'p']"
agral,False,6,0,9,"['a', 'n', 'r', 'e', 't', 'l', 'o', 'c', 'u']"
nictitation,True,2,0,8,"['e', 'i', 't', 'a', 'n', 's', 'o', 'c']"
proficiently,False,6,0,16,"['e', 'i', 't', 'a', 'n', 'r', 'o', 's', 'l', 'c', 'p', 'm', 'd', 'y', 'u', 'g']"
quaternity,False,6,0,12,"['e', 'r', 'a', 'i', 't', 'o', 'l', 'n', 'h', 'c', 's', 'm']"
unoppignorated,True,4,0,15,"['e', 'a', 't', 'r', 'o', 'n', 'i', 's', 'l', 'u', 'c', 'd', 'm', 'p', 'g']"
foreact,False,6,0,12,"['e', 'r', 'a', 't', 'n', 's', 'o', 'l', 'i', 'c', 'p', 'y']"
cholecystenterorrhaphy,True,2,0,14,"['o', 'i', 'e', 'r', 't', 'n', 's', 'l', 'a', 'c', 'h', 'p', 'u', 'y']"
rivery,False,6,0,9,"['e', 'n', 'r', 'a', 'i', 't', 's', 'l', 'o']"
pauropodous,False,6,0,9,"['e', 'i', 'a', 'o', 'n', 'r', 't', 'l', 'c']"
kelpie,False,6,0,9,"['e', 'r', 'n', 't', 'l', 'a', 'i', 'd', 's']"
imbirussu,False,6,0,8,"['e', 'o', 'a', 'i', 'n', 't', 's', 'c']"
unfaint,False,6,0,11,"['e', 'a', 'r', 't', 'i', 's', 'o', 'n', 'c', 'u', 'l']"
oviculated,False,6,0,15,"['e', 'i', 'n', 'r', 't', 's', 'a', 'l', 'c', 'o', 'd', 'u', 'm', 'p', 'y']"
cyanosed,False,6,0,13,"['e', 'r', 'a', 't', 'n', 'i', 'l', 's', 'o', 'c', 'd', 'h', 'm']"
punitionally,True,3,0,12,"['e', 'a', 'o', 'r', 'n', 'i', 't', 'l', 'u', 's', 'y', 'p']"
tinamine,True,4,0,10,"['e', 'i', 't', 'n', 'r', 'a', 'l', 's', 'c', 'm']"
aristocraticalness,True,0,0,10,"['o', 'i', 'n', 'a', 't', 'r', 'e', 's', 'c', 'l']"
propodeum,False,6,0,9,"['e', 'r', 'a', 'n', 't', 's', 'o', 'l', 'c']"
delightingly,False,6,0,14,"['e', 'a', 'i', 't', 'n', 's', 'r', 'l', 'o', 'c', 'd', 'y', 'g', 'u']"
pectase,True,4,0,10,"['e', 'r', 'i', 'n', 'l', 't', 'a', 's', 'c', 'p']"
cheka,False,6,0,8,"['a', 'e', 'r', 'n', 't', 'l', 's', 'd']"
dermasurgery,False,6,0,9,"['e', 'r', 'a', 'i', 't', 'o', 'n', 'l', 'c']"
librarian,False,6,0,11,"['e', 'o', 'a', 'n', 'r', 'i', 't', 'c', 's', 'l', 'p']"
begotten,False,6,0,9,"['e', 'r', 'n', 't', 's', 'a', 'l', 'c', 'd']"
outlay,False,6,0,9,"['e', 'a', 'l', 't', 'n', 's', 'r', 'i', 'c']"
distilled,True,2,0,8,"['e', 'n', 'r', 'i', 't', 's', 'l', 'd']"
pelisse,True,3,0,8,"['e', 'r', 'i', 't', 'n', 's', 'l', 'p']"
foredeserved,False,6,0,11,"['e', 'r', 't', 'n', 's', 'a', 'l', 'o', 'i', 'd', 'c']"
trifoliolate,False,6,0,13,"['e', 'i', 't', 'a', 'n', 'r', 'c', 's', 'l', 'o', 'd', 'p', 'm']"
easer,True,3,0,7,"['a', 'l', 'r', 'e', 't', 'n', 's']"
benumbedness,False,6,0,9,"['e', 'r', 'n', 'a', 't', 's', 'i', 'o', 'l']"
evidentiary,False,6,0,14,"['e', 'r', 'a', 'n', 't', 'i', 's', 'l', 'c', 'd', 'o', 'm', 'y', 'h']"
chromosome,False,6,0,10,"['e', 'i', 'a', 'o', 'n', 'r', 't', 'l', 'c', 'p']"
bisulphate,False,6,0,15,"['e', 'i', 't', 'a', 'n', 'r', 'l', 'o', 'c', 's', 'p', 'h', 'u', 'm', 'd']"
unvoyaging,False,6,0,10,"['e', 'i', 'a', 't', 'n', 'o', 'r', 'l', 'c', 's']"
underpossessor,True,5,0,13,"['e', 'r', 'a', 'i', 't', 'n', 'o', 'l', 'c', 's', 'p', 'u', 'd']"
stichometric,True,3,0,12,"['e', 'i', 't', 'a', 'n', 's', 'r', 'c', 'o', 'l', 'h', 'm']"
uncapably,False,6,0,11,"['e', 'o', 'a', 't', 'n', 'i', 'r', 'l', 'c', 'u', 's']"
carposperm,True,5,0,13,"['e', 'a', 'r', 'i', 't', 'o', 'n', 'l', 'c', 's', 'm', 'h', 'p']"
guanidopropionic,False,6,0,13,"['e', 'i', 't', 'n', 'o', 'r', 's', 'c', 'a', 'l', 'p', 'm', 'h']"
dolichoglossus,False,6,0,12,"['e', 'i', 'a', 'o', 'n', 'r', 't', 'l', 's', 'c', 'u', 'p']"
vorticose,False,6,0,13,"['e', 't', 'i', 'a', 'n', 's', 'o', 'r', 'c', 'p', 'l', 'h', 'm']"
mart,True,5,0,9,"['a', 't', 'n', 'e', 'i', 's', 'l', 'r', 'm']"
embrocate,False,6,0,12,"['e', 'a', 'r', 't', 'o', 'n', 'l', 's', 'c', 'd', 'p', 'u']"
ichthyophobia,False,6,0,13,"['e', 'i', 'n', 'a', 't', 'o', 'r', 's', 'l', 'c', 'h', 'p', 'm']"
wakamba,False,6,0,7,"['e', 'a', 'r', 't', 'l', 'n', 'c']"
cocash,False,6,0,8,"['e', 'a', 'r', 'n', 't', 'l', 'c', 'i']"
rearrange,True,5,0,10,"['e', 'r', 'a', 't', 'n', 'l', 'i', 'd', 's', 'g']"
kaid,False,6,0,7,"['a', 't', 'r', 'n', 'l', 'e', 'x']"
yn,False,6,0,6,"['e', 'a', 'i', 'o', 'j', 'r']"
electrophysiology,True,4,0,16,"['e', 'r', 'a', 'o', 'n', 't', 's', 'l', 'i', 'u', 'c', 'm', 'p', 'h', 'y', 'g']"
harshweed,False,6,0,10,"['e', 'r', 'a', 'i', 't', 'n', 'l', 's', 'm', 'c']"
sufferableness,False,6,0,14,"['e', 'r', 't', 'n', 's', 'i', 'a', 'l', 'c', 'o', 'p', 'u', 'b', 'm']"
becassocked,False,6,0,10,"['e', 'r', 't', 'n', 'l', 's', 'i', 'a', 'c', 'h']"
palaverment,False,6,0,14,"['e', 'r', 'a', 't', 'n', 'l', 'c', 'i', 'm', 'p', 's', 'd', 'g', 'h']"
reaward,False,6,0,9,"['e', 'a', 't', 'n', 'l', 'r', 'i', 'c', 'o']"
slinkiness,False,6,0,11,"['e', 'a', 'r', 't', 'n', 'i', 's', 'l', 'd', 'o', 'g']"
schizoidism,False,6,0,9,"['e', 'i', 'n', 't', 's', 'r', 'l', 'c', 'a']"
overfold,False,6,0,10,"['e', 'a', 'i', 'r', 'o', 'n', 'l', 't', 'c', 'm']"
evocatively,False,6,0,13,"['e', 'r', 'n', 'a', 't', 'i', 's', 'l', 'c', 'o', 'd', 'm', 'p']"
skeletin,False,6,0,12,"['e', 'r', 'n', 'a', 't', 'i', 'l', 's', 'h', 'p', 'c', 'm']"
electrotitration,True,1,0,10,"['e', 'r', 'a', 'o', 'n', 't', 'i', 's', 'l', 'c']"
chiefdom,False,6,0,9,"['e', 'a', 'i', 'n', 'r', 't', 'o', 'l', 's']"
federal,False,6,0,11,"['e', 'r', 't', 'n', 'l', 'a', 's', 'd', 'p', 'c', 'm']"
hippotigris,False,6,0,12,"['e', 'i', 't', 'o', 'n', 's', 'r', 'c', 'a', 'l', 'p', 'd']"
nonaxiomatic,False,6,0,13,"['e', 'a', 'i', 't', 'n', 'o', 'r', 'l', 'c', 'm', 's', 'd', 'p']"
cubitodigital,False,6,0,13,"['e', 'i', 't', 'a', 'n', 'r', 'l', 's', 'o', 'c', 'd', 'h', 'm']"
simia,False,6,0,8,"['a', 'e', 'i', 't', 'n', 'l', 'r', 'c']"
perciformes,False,6,0,14,"['e', 'r', 'a', 'o', 't', 'i', 'n', 'l', 's', 'c', 'd', 'p', 'm', 'h']"
pretreat,True,1,0,6,"['e', 'r', 'a', 't', 'o', 'p']"
pewmate,False,6,0,10,"['e', 'r', 'i', 'n', 'l', 't', 's', 'a', 'm', 'd']"
heiresshood,False,6,0,10,"['e', 'r', 'a', 't', 'n', 'o', 'l', 's', 'c', 'p']"
fermentatively,False,6,0,14,"['e', 'r', 'a', 't', 'n', 'l', 'i', 's', 'c', 'o', 'd', 'm', 'p', 'h']"
salivan,False,6,0,11,"['e', 'a', 't', 'l', 'i', 'n', 'c', 'r', 's', 'o', 'm']"
overstudied,False,6,0,14,"['e', 'r', 'a', 't', 'i', 'n', 's', 'l', 'd', 'o', 'h', 'm', 'u', 'p']"
pilori,False,6,0,10,"['e', 'a', 'i', 't', 'n', 'l', 'r', 'o', 'u', 's']"
chervil,False,6,0,11,"['e', 'r', 'a', 'i', 'n', 't', 's', 'l', 'o', 'c', 'u']"
cordeliere,True,3,0,10,"['e', 'r', 'a', 't', 'n', 'o', 'l', 'i', 'c', 'd']"
herrenvolk,False,6,0,11,"['e', 'r', 'a', 't', 'n', 'i', 'l', 'o', 'c', 's', 'd']"
temperament,True,5,0,12,"['e', 'r', 't', 'a', 'n', 'l', 's', 'c', 'd', 'm', 'i', 'p']"
actinodromous,True,4,0,15,"['e', 'i', 'a', 't', 'n', 's', 'o', 'r', 'l', 'u', 'c', 'p', 'm', 'g', 'd']"
hypersuperlative,True,5,0,17,"['e', 'r', 'a', 'i', 't', 'n', 'l', 's', 'c', 'p', 'o', 'm', 'h', 'u', 'd', 'v', 'y']"
dowerless,False,6,0,10,"['e', 'r', 'a', 't', 'n', 'l', 's', 'p', 'c', 'm']"
vainly,False,6,0,11,"['e', 'a', 't', 'n', 'i', 'r', 'c', 'l', 'y', 'm', 'j']"
canossa,False,6,0,10,"['e', 'a', 'i', 'n', 't', 'r', 'c', 'l', 'o', 'm']"
deglaciation,False,6,0,15,"['e', 'a', 'r', 't', 'n', 'i', 'l', 's', 'o', 'c', 'd', 'p', 'u', 'b', 'm']"
quintupliribbed,False,6,0,14,"['e', 'a', 'i', 't', 'n', 'r', 's', 'l', 'o', 'c', 'd', 'h', 'p', 'm']"
galeproof,False,6,0,11,"['e', 'a', 'r', 't', 'n', 'l', 'i', 's', 'o', 'd', 'c']"
triethylamine,False,6,0,14,"['e', 'i', 't', 'a', 'r', 'n', 'l', 'o', 's', 'c', 'h', 'b', 'p', 'd']"
topectomy,False,6,0,9,"['e', 'a', 'r', 'i', 'n', 't', 's', 'o', 'l']"
misdeem,True,5,0,10,"['e', 'r', 'n', 'a', 't', 's', 'i', 'l', 'd', 'm']"
cerebropedal,False,6,0,14,"['e', 'r', 'a', 't', 'n', 'l', 'i', 's', 'o', 'c', 'd', 'p', 'u', 'm']"
dextran,False,6,0,12,"['e', 'a', 'r', 't', 'n', 's', 'l', 'c', 'd', 'g', 'i', 'o']"
substitutionally,False,6,0,15,"['e', 'i', 'a', 't', 'n', 's', 'o', 'r', 'l', 'y', 'u', 'p', 'm', 'c', 'd']"
hemometry,False,6,0,9,"['e', 'r', 'a', 't', 'n', 'l', 's', 'd', 'i']"
setness,True,2,0,6,"['e', 'r', 'n', 'a', 't', 's']"
teasel,True,3,0,8,"['e', 'r', 'n', 't', 's', 'a', 'd', 'l']"
uncramp,False,6,0,9,"['e', 'a', 'r', 'o', 'i', 'n', 's', 't', 'l']"
circumstantiable,True,2,0,14,"['e', 'i', 't', 'a', 'n', 's', 'l', 'r', 'o', 'c', 'u', 'b', 'p', 'm']"
polycormic,True,5,0,13,"['e', 'i', 'a', 'r', 't', 'o', 'n', 'c', 'l', 's', 'm', 'p', 'y']"
pyotoxinemia,False,6,0,14,"['e', 'a', 'i', 't', 'n', 'r', 's', 'l', 'o', 'c', 'm', 'p', 'h', 'd']"
unrebated,False,6,0,13,"['e', 'r', 'a', 't', 'n', 'i', 's', 'l', 'd', 'o', 'u', 'm', 'p']"
unbiasable,False,6,0,13,"['e', 'i', 't', 'n', 'a', 'r', 'l', 'o', 'c', 's', 'u', 'd', 'g']"
irani,True,3,0,7,"['a', 'r', 'e', 'i', 't', 'l', 'n']"
amblyomma,False,6,0,9,"['e', 'o', 'i', 'r', 'n', 't', 'l', 'a', 'c']"
spitted,False,6,0,11,"['e', 'r', 'a', 'n', 'o', 't', 's', 'i', 'l', 'd', 'm']"
oversusceptible,False,6,0,17,"['e', 'r', 'a', 't', 'n', 'i', 's', 'l', 'o', 'c', 'u', 'd', 'p', 'm', 'g', 'b', 'h']"
jobmonger,False,6,0,10,"['e', 'n', 'r', 'i', 'a', 't', 'o', 'l', 'c', 's']"
dipody,False,6,0,8,"['e', 'a', 'i', 'n', 't', 'l', 'o', 'm']"
khvat,False,6,0,8,"['a', 'n', 'e', 'r', 'l', 't', 'i', 'u']"
physiqued,False,6,0,9,"['e', 'n', 'r', 'i', 't', 's', 'a', 'l', 'c']"
hulu,False,6,0,6,"['a', 'o', 'e', 'i', 't', 's']"
meliorant,True,1,0,10,"['e', 'r', 'a', 't', 'n', 's', 'l', 'o', 'm', 'i']"
evincive,False,6,0,10,"['e', 'i', 'n', 't', 'r', 'l', 's', 'd', 'c', 'a']"
tumtum,False,6,0,6,"['e', 'a', 'i', 'o', 'n', 'l']"
clathrinidae,True,2,0,12,"['e', 'i', 't', 'a', 'n', 'r', 'o', 'c', 'l', 's', 'h', 'd']"
hugeously,False,6,0,11,"['e', 'a', 'r', 'i', 'n', 't', 'l', 'o', 's', 'u', 'c']"
sward,False,6,0,8,"['a', 'r', 'e', 'o', 'i', 't', 'l', 'p']"
thallogenic,True,5,0,15,"['e', 'r', 'i', 't', 'n', 'a', 'l', 'o', 'c', 'm', 'h', 's', 'p', 'd', 'g']"
petrolic,False,6,0,13,"['e', 'r', 'a', 'o', 'n', 't', 'l', 's', 'i', 'd', 'c', 'm', 'g']"
versette,False,6,0,10,"['e', 'r', 't', 'a', 'n', 'l', 'i', 's', 'p', 'd']"
nonterritoriality,True,1,0,10,"['e', 'i', 't', 'a', 'r', 'n', 'o', 'l', 's', 'y']"
laceleaf,False,6,0,10,"['e', 'r', 'a', 't', 'n', 'l', 'c', 's', 'd', 'm']"
parode,False,6,0,10,"['e', 'a', 'l', 'r', 't', 'i', 'o', 'n', 's', 'm']"
cagn,False,6,0,8,"['a', 't', 'r', 'n', 'i', 'l', 'e', 'o']"
sphyrnidae,True,4,0,14,"['e', 'i', 't', 'a', 'n', 'o', 'c', 'r', 's', 'l', 'p', 'h', 'd', 'y']"
merchandiser,True,3,0,13,"['e', 'r', 'i', 't', 'n', 'a', 'l', 'c', 's', 'h', 'd', 'p', 'm']"
insinuating,False,6,0,11,"['e', 'i', 'n', 't', 'a', 'r', 'c', 'd', 'g', 'l', 'o']"
luxemburgian,False,6,0,12,"['e', 'a', 'r', 't', 'n', 'i', 'o', 'l', 's', 'd', 'c', 'p']"
volley,False,6,0,7,"['e', 'r', 'a', 'n', 't', 's', 'd']"
unpitiably,False,6,0,12,"['e', 'i', 'n', 'a', 't', 'o', 'l', 'r', 's', 'u', 'c', 'd']"
proseuche,False,6,0,10,"['e', 'r', 'a', 't', 'n', 'o', 'l', 's', 'i', 'd']"
ambassadress,False,6,0,10,"['e', 'o', 'r', 'a', 't', 'n', 'l', 'c', 's', 'i']"
latterness,True,2,0,9,"['e', 'r', 'a', 't', 'n', 's', 'c', 'i', 'l']"
phagocytolysis,False,6,0,16,"['e', 'i', 'a', 't', 'n', 'r', 's', 'o', 'l', 'c', 'u', 'p', 'h', 'y', 'm', 'd']"
struthiones,True,3,0,12,"['e', 'r', 'a', 'o', 't', 'i', 'n', 's', 'l', 'h', 'c', 'u']"
tolylenediamine,False,6,0,14,"['e', 'r', 't', 'i', 'n', 'l', 'a', 'o', 's', 'd', 'c', 'u', 'b', 'p']"
tuatara,False,6,0,9,"['e', 'a', 'r', 't', 'i', 'o', 'h', 'l', 'n']"
speleology,False,6,0,10,"['e', 'r', 't', 'n', 'l', 'a', 'i', 's', 'o', 'm']"
presley,False,6,0,10,"['e', 'r', 'a', 't', 'n', 's', 'l', 'o', 'd', 'c']"
ramified,False,6,0,12,"['e', 'r', 'a', 't', 'n', 'l', 's', 'd', 'i', 'c', 'm', 'o']"
quadrumanal,False,6,0,10,"['e', 'i', 'a', 't', 'r', 'n', 'l', 'o', 'c', 'p']"
coimplicant,True,5,0,14,"['e', 'i', 'n', 'a', 't', 'r', 'c', 'o', 's', 'l', 'd', 'u', 'p', 'm']"
pyralis,False,6,0,12,"['e', 'a', 'r', 'i', 't', 'n', 's', 'l', 'o', 'p', 'c', 'm']"
epruinose,False,6,0,13,"['e', 'a', 'r', 'o', 'n', 'i', 't', 'l', 's', 'd', 'c', 'p', 'm']"
manipular,False,6,0,12,"['e', 'o', 'a', 'i', 'n', 't', 'r', 'c', 'l', 's', 'p', 'h']"
fangled,False,6,0,10,"['e', 'r', 'a', 't', 'n', 'i', 'l', 's', 'c', 'p']"
deferrize,False,6,0,9,"['e', 'r', 't', 'a', 'n', 'l', 's', 'i', 'c']"
antemarital,True,2,0,10,"['e', 'r', 'a', 't', 'n', 'i', 'l', 's', 'c', 'm']"
profligation,False,6,0,14,"['e', 'a', 'i', 't', 'n', 'o', 'r', 'c', 'l', 's', 'p', 'm', 'u', 'd']"
sadhe,False,6,0,9,"['a', 'l', 'r', 'e', 'n', 't', 'i', 'h', 'c']"
crumblet,False,6,0,12,"['e', 'r', 'a', 'o', 'n', 'l', 'i', 't', 'c', 'u', 's', 'p']"
camestres,True,2,0,9,"['e', 'r', 'a', 't', 'n', 's', 'l', 'c', 'm']"
mantra,True,3,0,8,"['e', 'a', 'n', 'i', 't', 'r', 'l', 'm']"
conjoinedly,False,6,0,14,"['e', 'r', 'i', 'o', 'n', 't', 'c', 's', 'l', 'a', 'd', 'y', 'g', 'h']"
aclinal,False,6,0,10,"['e', 'a', 'n', 'o', 't', 'l', 'i', 'r', 'b', 'u']"
amalgamate,False,6,0,11,"['e', 'i', 'a', 't', 'r', 'n', 'l', 'c', 'm', 'o', 'y']"
