word,won,wrong_guesses,repeated_guesses,total_guesses,guesses
propodeum,False,6,0,9,"['i', 'e', 'a', 'n', 't', 'r', 'o', 'l', 's']"
delightingly,False,6,0,14,"['e', 'o', 'i', 't', 'n', 's', 'r', 'a', 'l', 'c', 'd', 'y', 'g', 'u']"
pectase,True,4,0,10,"['e', 'r', 't', 'n', 'a', 'l', 's', 'c', 'm', 'p']"
cheka,False,6,0,9,"['a', 'i', 'e', 'r', 'n', 'l', 't', 'h', 'x']"
dermasurgery,False,6,0,9,"['e', 'r', 'a', 'i', 't', 'o', 'n', 'l', 'c']"
librarian,False,6,0,11,"['i', 'n', 'a', 't', 'r', 'e', 'c', 's', 'o', 'l', 'p']"
begotten,False,6,0,9,"['a', 'e', 'r', 't', 'n', 's', 'l', 'c', 'i']"
outlay,False,6,0,10,"['e', 'a', 'r', 'n', 't', 'i', 'l', 's', 'u', 'g']"
distilled,True,3,0,9,"['i', 'n', 'r', 't', 's', 'a', 'l', 'e', 'd']"
pelisse,True,3,0,8,"['e', 'r', 't', 'i', 'n', 'l', 's', 'p']"
foredeserved,False,6,0,11,"['e', 'r', 't', 'n', 's', 'a', 'l', 'o', 'i', 'd', 'c']"
trifoliolate,False,6,0,13,"['e', 'i', 'n', 't', 'a', 'r', 'c', 's', 'l', 'o', 'd', 'p', 'm']"
easer,True,3,0,7,"['a', 't', 'r', 'e', 'l', 'n', 's']"
benumbedness,False,6,0,9,"['e', 'r', 'n', 'a', 't', 's', 'i', 'o', 'l']"
evidentiary,False,6,0,14,"['e', 'r', 'a', 'n', 't', 'i', 's', 'l', 'c', 'd', 'o', 'm', 'y', 'h']"
chromosome,False,6,0,10,"['i', 'e', 'a', 't', 'r', 'o', 'n', 'l', 'c', 'p']"
bisulphate,False,6,0,15,"['i', 'e', 't', 'a', 'n', 'r', 'l', 'o', 'c', 's', 'p', 'h', 'u', 'm', 'd']"
unvoyaging,False,6,0,10,"['i', 'e', 'a', 't', 'n', 's', 'r', 'l', 'o', 'c']"
underpossessor,True,5,0,13,"['o', 'i', 'e', 'r', 'n', 't', 'l', 'a', 'c', 's', 'p', 'u', 'd']"
stichometric,True,3,0,12,"['e', 'a', 'r', 't', 'i', 'n', 's', 'c', 'o', 'l', 'h', 'm']"
uncapably,False,6,0,11,"['i', 'e', 'a', 't', 'n', 'r', 'l', 'o', 'c', 'u', 's']"
carposperm,True,5,0,13,"['i', 'e', 'a', 'n', 'r', 't', 'o', 'l', 'c', 's', 'm', 'h', 'p']"
guanidopropionic,False,6,0,13,"['i', 't', 'n', 'o', 'r', 'e', 's', 'c', 'a', 'l', 'p', 'm', 'h']"
dolichoglossus,False,6,0,12,"['o', 'i', 'n', 'r', 't', 'l', 's', 'c', 'a', 'e', 'u', 'p']"
vorticose,False,6,0,13,"['i', 'e', 'a', 't', 'n', 's', 'o', 'r', 'c', 'p', 'l', 'h', 'm']"
mart,True,3,0,7,"['a', 't', 'i', 'n', 's', 'r', 'm']"
embrocate,False,6,0,12,"['i', 'e', 'a', 'r', 't', 'o', 'n', 'l', 's', 'c', 'd', 'p']"
ichthyophobia,False,6,0,13,"['e', 'i', 'n', 'a', 't', 'o', 'r', 's', 'l', 'c', 'h', 'p', 'm']"
wakamba,False,6,0,7,"['e', 'a', 't', 'n', 'r', 'l', 'i']"
cocash,False,6,0,8,"['e', 'a', 'r', 'n', 'l', 't', 'c', 'i']"
rearrange,True,5,0,10,"['i', 'e', 'r', 'a', 't', 'n', 'l', 'd', 's', 'g']"
kaid,False,6,0,8,"['a', 't', 'n', 'l', 'r', 'i', 'c', 'e']"
yn,False,6,0,6,"['a', 'i', 'j', 'e', 'o', 'x']"
electrophysiology,True,4,0,16,"['e', 'r', 'a', 'o', 'n', 't', 's', 'l', 'i', 'u', 'c', 'm', 'p', 'h', 'y', 'g']"
harshweed,False,6,0,10,"['i', 'e', 'r', 'a', 't', 'n', 'l', 's', 'm', 'c']"
sufferableness,False,6,0,14,"['o', 'e', 'r', 't', 'n', 's', 'i', 'a', 'l', 'c', 'p', 'u', 'b', 'm']"
becassocked,False,6,0,10,"['e', 'r', 'n', 'i', 't', 's', 'l', 'a', 'c', 'h']"
palaverment,False,6,0,14,"['e', 'r', 'a', 't', 'n', 'l', 'c', 'i', 'd', 'm', 'p', 's', 'g', 'h']"
reaward,False,6,0,9,"['e', 'r', 'a', 'i', 't', 'n', 'l', 'c', 'o']"
slinkiness,False,6,0,11,"['i', 'n', 'a', 'e', 't', 'r', 's', 'l', 'd', 'o', 'g']"
schizoidism,False,6,0,8,"['e', 'a', 'i', 't', 'n', 's', 'r', 'l']"
overfold,False,6,0,10,"['a', 'e', 'i', 't', 'r', 'o', 'n', 'l', 'm', 'c']"
evocatively,False,6,0,13,"['e', 'r', 'n', 'a', 't', 'i', 's', 'l', 'c', 'o', 'd', 'm', 'p']"
skeletin,False,6,0,12,"['a', 'e', 'r', 'n', 't', 'i', 'l', 's', 'h', 'p', 'c', 'm']"
electrotitration,True,1,0,10,"['i', 'a', 't', 'e', 'r', 'n', 's', 'o', 'l', 'c']"
chiefdom,False,6,0,10,"['a', 'e', 'r', 'i', 't', 'o', 's', 'n', 'c', 'l']"
federal,False,6,0,11,"['e', 'r', 'a', 'n', 't', 'l', 's', 'd', 'p', 'c', 'h']"
hippotigris,False,6,0,12,"['e', 'a', 'i', 't', 'n', 's', 'c', 'r', 'o', 'l', 'p', 'd']"
nonaxiomatic,False,6,0,13,"['e', 'i', 'n', 'a', 't', 'o', 'r', 'l', 'c', 'm', 's', 'd', 'p']"
cubitodigital,False,6,0,13,"['e', 'i', 't', 'a', 'n', 'r', 'l', 's', 'o', 'c', 'd', 'h', 'm']"
simia,False,6,0,9,"['a', 'i', 't', 'l', 'n', 's', 'c', 'r', 'o']"
perciformes,False,6,0,14,"['e', 'r', 'a', 'o', 't', 'i', 'n', 'l', 's', 'c', 'd', 'p', 'm', 'h']"
pretreat,True,1,0,6,"['a', 'e', 'r', 't', 'o', 'p']"
pewmate,False,6,0,10,"['e', 'r', 't', 'a', 'n', 'l', 's', 'm', 'd', 'c']"
heiresshood,False,6,0,10,"['e', 'r', 'a', 't', 'n', 'o', 'l', 's', 'c', 'p']"
fermentatively,False,6,0,14,"['o', 'e', 'r', 't', 'a', 'n', 'l', 'i', 's', 'c', 'd', 'm', 'p', 'h']"
salivan,False,6,0,11,"['e', 'a', 't', 'r', 'l', 'i', 'n', 'c', 'm', 's', 'o']"
overstudied,False,6,0,14,"['e', 'r', 'a', 't', 'i', 'n', 's', 'l', 'd', 'o', 'h', 'm', 'u', 'p']"
pilori,False,6,0,9,"['e', 'a', 'o', 'n', 'r', 'i', 't', 'c', 's']"
chervil,False,6,0,10,"['e', 'r', 'a', 'o', 'i', 't', 'n', 'l', 'p', 's']"
cordeliere,True,3,0,10,"['i', 'a', 'e', 'r', 't', 'n', 'o', 'l', 'c', 'd']"
herrenvolk,False,6,0,11,"['i', 'e', 'r', 't', 'n', 'a', 'l', 'o', 'c', 's', 'd']"
temperament,True,5,0,12,"['e', 'r', 't', 'a', 'n', 'l', 's', 'c', 'd', 'm', 'i', 'p']"
actinodromous,True,4,0,15,"['e', 'i', 'a', 't', 'n', 's', 'o', 'r', 'l', 'u', 'c', 'p', 'm', 'g', 'd']"
hypersuperlative,True,5,0,17,"['i', 'a', 't', 'o', 'n', 'e', 'r', 'l', 's', 'c', 'p', 'm', 'h', 'u', 'd', 'v', 'y']"
dowerless,False,6,0,10,"['i', 'e', 'n', 'r', 't', 'a', 'l', 's', 'p', 'c']"
vainly,True,5,0,11,"['e', 'a', 't', 'r', 'l', 'n', 'i', 'h', 'y', 'p', 'v']"
canossa,False,6,0,10,"['e', 'a', 't', 'i', 'l', 'r', 'n', 'c', 'o', 'm']"
deglaciation,False,6,0,15,"['e', 'o', 'r', 't', 'n', 'i', 's', 'a', 'l', 'c', 'd', 'p', 'u', 'b', 'm']"
quintupliribbed,False,6,0,14,"['a', 'e', 'i', 't', 'n', 'r', 's', 'l', 'o', 'c', 'd', 'h', 'p', 'm']"
galeproof,False,6,0,12,"['i', 'e', 'a', 'r', 't', 'n', 'l', 'o', 's', 'd', 'p', 'm']"
triethylamine,False,6,0,14,"['e', 'a', 't', 'i', 'r', 'n', 'l', 'o', 's', 'c', 'h', 'b', 'p', 'd']"
topectomy,False,6,0,9,"['i', 'e', 'a', 'r', 'n', 't', 's', 'o', 'l']"
misdeem,True,5,0,10,"['e', 'r', 'a', 'n', 't', 'l', 's', 'i', 'd', 'm']"
cerebropedal,False,6,0,14,"['e', 'r', 'a', 't', 'n', 'l', 'i', 's', 'o', 'c', 'd', 'p', 'u', 'm']"
dextran,False,6,0,12,"['e', 'r', 'a', 't', 'n', 's', 'l', 'c', 'd', 'm', 'i', 'o']"
substitutionally,False,6,0,15,"['i', 'a', 't', 'e', 'n', 's', 'o', 'r', 'l', 'y', 'u', 'p', 'm', 'c', 'd']"
hemometry,False,6,0,9,"['i', 'e', 'r', 'a', 't', 'n', 'l', 's', 'd']"
setness,True,2,0,6,"['e', 'r', 'n', 'a', 't', 's']"
teasel,True,4,0,9,"['e', 'r', 'n', 't', 's', 'a', 'd', 'y', 'l']"
uncramp,False,6,0,9,"['e', 'a', 't', 'r', 'n', 'o', 's', 'i', 'l']"
circumstantiable,True,2,0,14,"['i', 't', 'a', 'n', 's', 'e', 'l', 'r', 'o', 'c', 'u', 'b', 'p', 'm']"
polycormic,True,5,0,13,"['i', 'e', 'r', 'a', 't', 'n', 'o', 'c', 'l', 's', 'm', 'p', 'y']"
pyotoxinemia,False,6,0,14,"['e', 'a', 't', 'i', 'n', 'r', 's', 'l', 'o', 'c', 'm', 'p', 'h', 'd']"
unrebated,False,6,0,13,"['i', 'e', 'r', 'a', 't', 'n', 's', 'l', 'd', 'o', 'u', 'm', 'p']"
unbiasable,False,6,0,13,"['i', 'a', 't', 'e', 'r', 'n', 'l', 'o', 'c', 's', 'u', 'd', 'g']"
irani,True,4,0,8,"['a', 'e', 't', 'r', 'n', 'o', 'g', 'i']"
amblyomma,False,6,0,9,"['i', 'e', 'a', 't', 'r', 'n', 'l', 'o', 'c']"
spitted,False,6,0,11,"['e', 'r', 'a', 'n', 't', 's', 'i', 'l', 'd', 'h', 'o']"
oversusceptible,False,6,0,17,"['a', 'e', 'r', 't', 'n', 'i', 's', 'l', 'o', 'c', 'u', 'd', 'p', 'm', 'g', 'b', 'h']"
jobmonger,False,6,0,10,"['i', 'e', 'r', 'a', 't', 'o', 'n', 'l', 'c', 's']"
dipody,False,6,0,7,"['e', 'a', 'o', 'n', 'r', 't', 'l']"
khvat,False,6,0,8,"['a', 'e', 'r', 't', 'l', 'i', 'o', 'c']"
physiqued,False,6,0,9,"['i', 'e', 'n', 'r', 't', 's', 'l', 'a', 'c']"
hulu,False,6,0,6,"['a', 'e', 'o', 'i', 't', 'g']"
meliorant,True,4,0,13,"['i', 'e', 'r', 'a', 't', 'n', 's', 'l', 'c', 'o', 'p', 'd', 'm']"
evincive,False,6,0,9,"['a', 'e', 'n', 'i', 't', 'r', 'l', 's', 'd']"
tumtum,False,6,0,7,"['e', 'a', 'o', 'i', 'r', 't', 'n']"
clathrinidae,True,2,0,12,"['e', 'i', 'n', 't', 'a', 'r', 'o', 'c', 'l', 's', 'h', 'd']"
hugeously,False,6,0,11,"['i', 'e', 'a', 'r', 'n', 't', 'l', 'o', 's', 'u', 'c']"
sward,False,6,0,8,"['a', 'e', 't', 'r', 'i', 'n', 'o', 'h']"
thallogenic,True,5,0,15,"['e', 'r', 'i', 't', 'n', 'a', 'l', 'o', 'c', 'm', 'h', 's', 'p', 'd', 'g']"
petrolic,True,3,0,11,"['a', 'e', 'r', 'o', 'n', 't', 'l', 's', 'i', 'c', 'p']"
versette,False,6,0,10,"['a', 'e', 'r', 't', 'n', 'l', 'i', 's', 'p', 'd']"
nonterritoriality,True,1,0,10,"['e', 'i', 't', 'a', 'r', 'n', 'o', 'l', 's', 'y']"
laceleaf,False,6,0,10,"['a', 't', 'r', 'l', 'e', 'n', 'c', 's', 'd', 'm']"
parode,False,6,0,10,"['e', 'a', 'l', 't', 'r', 'o', 'n', 's', 'm', 'u']"
cagn,False,6,0,8,"['a', 't', 'n', 'i', 'e', 'r', 'l', 'y']"
sphyrnidae,False,6,0,15,"['i', 'a', 'e', 'o', 't', 'n', 'c', 'r', 's', 'l', 'p', 'h', 'd', 'u', 'g']"
merchandiser,True,3,0,13,"['e', 'r', 'i', 't', 'n', 'a', 'l', 'c', 's', 'h', 'd', 'p', 'm']"
insinuating,False,6,0,11,"['e', 'a', 'i', 'n', 't', 'r', 'c', 'd', 'g', 'l', 'o']"
luxemburgian,False,6,0,12,"['e', 'i', 'n', 'a', 'r', 't', 'o', 'l', 's', 'd', 'c', 'p']"
volley,False,6,0,9,"['e', 'r', 'a', 'n', 't', 'l', 's', 'o', 'd']"
unpitiably,False,6,0,12,"['i', 't', 'e', 'a', 'n', 'o', 'l', 'r', 's', 'u', 'c', 'd']"
proseuche,False,6,0,10,"['i', 'e', 'r', 'a', 't', 'n', 'l', 's', 'o', 'd']"
ambassadress,False,6,0,10,"['e', 'o', 'a', 'r', 't', 'n', 'l', 'c', 's', 'i']"
latterness,True,2,0,9,"['i', 'e', 'n', 'a', 'r', 't', 's', 'c', 'l']"
phagocytolysis,False,6,0,16,"['o', 'i', 'n', 't', 'r', 's', 'a', 'l', 'e', 'c', 'u', 'p', 'h', 'y', 'm', 'd']"
struthiones,True,3,0,12,"['e', 'a', 'r', 'i', 't', 'n', 'o', 's', 'l', 'h', 'c', 'u']"
tolylenediamine,False,6,0,14,"['a', 'e', 'r', 't', 'n', 'i', 'l', 'o', 's', 'd', 'c', 'u', 'b', 'p']"
tuatara,False,6,0,9,"['e', 'a', 'r', 't', 'i', 'o', 'h', 'l', 'n']"
speleology,False,6,0,10,"['i', 'e', 'r', 'a', 'n', 't', 'l', 's', 'o', 'm']"
presley,False,6,0,10,"['e', 'r', 'a', 'n', 't', 's', 'l', 'c', 'o', 'd']"
ramified,False,6,0,12,"['a', 'e', 'r', 'n', 't', 'l', 's', 'c', 'd', 'i', 'm', 'o']"
quadrumanal,False,6,0,10,"['e', 'a', 'n', 'r', 't', 'l', 'i', 'o', 'c', 'p']"
coimplicant,True,5,0,14,"['e', 'a', 'r', 't', 'n', 'i', 'c', 'o', 's', 'l', 'u', 'd', 'p', 'm']"
pyralis,False,6,0,12,"['e', 'a', 'i', 'n', 't', 'r', 'l', 'o', 'c', 's', 'p', 'h']"
epruinose,False,6,0,13,"['i', 'e', 'n', 't', 'r', 'a', 'o', 'l', 's', 'd', 'c', 'p', 'm']"
manipular,False,6,0,12,"['i', 'e', 'a', 't', 'n', 'r', 'c', 'l', 's', 'o', 'p', 'h']"
fangled,False,6,0,12,"['e', 'r', 'a', 't', 'n', 's', 'l', 'c', 'd', 'i', 'f', 'o']"
deferrize,False,6,0,10,"['i', 'e', 'r', 'n', 't', 'l', 's', 'c', 'd', 'a']"
antemarital,True,2,0,10,"['e', 'a', 't', 'n', 'r', 'i', 'l', 's', 'c', 'm']"
profligation,False,6,0,14,"['e', 'i', 'n', 'a', 't', 'o', 'r', 'c', 'l', 's', 'p', 'm', 'u', 'd']"
sadhe,False,6,0,8,"['a', 't', 'r', 'l', 'n', 'e', 'c', 'g']"
crumblet,False,6,0,12,"['a', 'e', 'r', 't', 'l', 'o', 'i', 'c', 'u', 'n', 's', 'p']"
camestres,True,3,0,10,"['i', 'e', 'r', 't', 'n', 's', 'l', 'a', 'c', 'm']"
mantra,False,6,0,10,"['e', 'a', 'i', 't', 'r', 'n', 'c', 'l', 'p', 's']"
conjoinedly,False,6,0,14,"['e', 'r', 'i', 't', 'n', 'a', 'o', 'c', 's', 'l', 'd', 'y', 'g', 'h']"
aclinal,False,6,0,10,"['e', 'a', 't', 'n', 'o', 'l', 'i', 'r', 'b', 'u']"
